datetime,close
2018-12-19,1
2018-12-21,0.999
2018-12-28,0.9994
2018-12-31,0.9998
2019-01-04,1.0006
2019-01-11,1.0009
2019-01-17,1.0004
2019-01-18,1.0051
2019-01-21,1.0057
2019-01-22,1.0009
2019-01-23,1.0053
2019-01-24,1.008
2019-01-25,1.0134
2019-01-28,1.0124
2019-01-29,1.0192
2019-01-30,1.0156
2019-01-31,1.0192
2019-02-01,1.0294
2019-02-11,1.038
2019-02-12,1.0428
2019-02-13,1.0539
2019-02-14,1.0518
2019-02-15,1.0338
2019-02-18,1.0544
2019-02-19,1.0535
2019-02-20,1.0549
2019-02-21,1.0484
2019-02-22,1.0561
2019-02-25,1.0967
2019-02-26,1.0892
2019-02-27,1.092
2019-02-28,1.0893
2019-03-01,1.1015
2019-03-04,1.1153
2019-03-05,1.1266
2019-03-06,1.1365
2019-03-07,1.1304
2019-03-08,1.0889
2019-03-11,1.1069
2019-03-12,1.1168
2019-03-13,1.1138
2019-03-14,1.1021
2019-03-15,1.1197
2019-03-18,1.1519
2019-03-19,1.1504
2019-03-20,1.155
2019-03-21,1.1557
2019-03-22,1.1622
2019-03-25,1.1494
2019-03-26,1.1349
2019-03-27,1.1496
2019-03-28,1.1375
2019-03-29,1.1666
2019-04-01,1.1962
2019-04-02,1.1947
2019-04-03,1.2096
2019-04-04,1.2247
2019-04-08,1.2205
2019-04-09,1.2259
2019-04-10,1.2281
2019-04-11,1.2124
2019-04-12,1.2099
2019-04-15,1.2037
2019-04-16,1.2226
2019-04-17,1.2267
2019-04-18,1.2156
2019-04-19,1.2212
2019-04-22,1.1924
2019-04-23,1.184
2019-04-24,1.1856
2019-04-25,1.1549
2019-04-26,1.1413
2019-04-29,1.142
2019-04-30,1.1548
2019-05-06,1.0988
2019-05-07,1.109
2019-05-08,1.0995
2019-05-09,1.0843
2019-05-10,1.1156
2019-05-13,1.1061
2019-05-14,1.099
2019-05-15,1.1168
2019-05-16,1.1244
2019-05-17,1.0977
2019-05-20,1.0872
2019-05-21,1.1004
2019-05-22,1.0953
2019-05-23,1.0835
2019-05-24,1.0881
2019-05-27,1.1018
2019-05-28,1.1077
2019-05-29,1.103
2019-05-30,1.1066
2019-05-31,1.1062
2019-06-03,1.1056
2019-06-04,1.098
2019-06-05,1.0992
2019-06-06,1.0923
2019-06-10,1.1021
2019-06-11,1.1247
2019-06-12,1.1169
2019-06-13,1.1123
2019-06-14,1.1039
2019-06-17,1.1029
2019-06-18,1.1026
2019-06-19,1.1157
2019-06-20,1.1349
2019-06-21,1.1372
2019-06-24,1.1372
2019-06-25,1.127
2019-06-26,1.1267
2019-06-27,1.1337
2019-06-28,1.1285
2019-06-30,1.1284
2019-07-01,1.1501
2019-07-02,1.1544
2019-07-03,1.157
2019-07-04,1.1564
2019-07-05,1.159
2019-07-08,1.1343
2019-07-09,1.1355
2019-07-10,1.1294
2019-07-11,1.1285
2019-07-12,1.1348
2019-07-15,1.1378
2019-07-16,1.139
2019-07-17,1.1391
2019-07-18,1.1295
2019-07-19,1.1416
2019-07-22,1.1336
2019-07-23,1.1373
2019-07-24,1.1439
2019-07-25,1.1487
2019-07-26,1.1494
2019-07-29,1.1505
2019-07-30,1.1562
2019-07-31,1.1471
2019-08-01,1.1371
2019-08-02,1.1242
2019-08-05,1.1045
2019-08-06,1.0895
2019-08-07,1.0868
2019-08-08,1.0995
2019-08-09,1.0903
2019-08-12,1.1025
2019-08-13,1.097
2019-08-14,1.0989
2019-08-15,1.1033
2019-08-16,1.1028
2019-08-19,1.1224
2019-08-20,1.1195
2019-08-21,1.1184
2019-08-22,1.1193
2019-08-23,1.1216
2019-08-26,1.112
2019-08-27,1.1249
2019-08-28,1.1242
2019-08-29,1.1168
2019-08-30,1.1131
2019-09-02,1.1213
2019-09-03,1.1196
2019-09-04,1.1306
2019-09-05,1.1354
2019-09-06,1.1413
2019-09-09,1.1491
2019-09-10,1.1429
2019-09-11,1.1441
2019-09-12,1.1514
2019-09-16,1.1535
2019-09-17,1.1377
2019-09-18,1.1436
2019-09-19,1.146
2019-09-20,1.1454
2019-09-23,1.1318
2019-09-24,1.1372
2019-09-25,1.1266
2019-09-26,1.1261
2019-09-27,1.1234
2019-09-30,1.1194
2019-10-08,1.1269
2019-10-09,1.1389
2019-10-10,1.1447
2019-10-11,1.1514
2019-10-14,1.1652
2019-10-15,1.1594
2019-10-16,1.1593
2019-10-17,1.1556
2019-10-18,1.1416
2019-10-21,1.1465
2019-10-22,1.1494
2019-10-23,1.142
2019-10-24,1.1443
2019-10-25,1.1515
2019-10-28,1.1539
2019-10-29,1.1453
2019-10-30,1.1412
2019-10-31,1.1358
2019-11-01,1.1496
2019-11-04,1.1516
2019-11-05,1.1602
2019-11-06,1.1545
2019-11-07,1.158
2019-11-08,1.153
2019-11-11,1.1339
2019-11-12,1.1345
2019-11-13,1.129
2019-11-14,1.1283
2019-11-15,1.1235
2019-11-18,1.1372
2019-11-19,1.1499
2019-11-20,1.1426
2019-11-21,1.1419
2019-11-22,1.1406
2019-11-25,1.157
2019-11-26,1.1566
2019-11-27,1.1524
2019-11-28,1.1471
2019-11-29,1.1477
2019-12-02,1.1486
2019-12-03,1.1531
2019-12-04,1.1499
2019-12-05,1.1528
2019-12-06,1.1573
2019-12-09,1.1625
2019-12-10,1.1606
2019-12-11,1.163
2019-12-12,1.1624
2019-12-13,1.1771
2019-12-16,1.1815
2019-12-17,1.1905
2019-12-18,1.1874
2019-12-19,1.191
2019-12-20,1.1899
2019-12-23,1.1767
2019-12-24,1.1793
2019-12-25,1.1771
2019-12-26,1.1887
2019-12-27,1.1924
2019-12-30,1.2085
2019-12-31,1.2155
2020-01-02,1.2284
2020-01-03,1.2267
2020-01-06,1.2212
2020-01-07,1.2286
2020-01-08,1.2126
2020-01-09,1.2239
2020-01-10,1.2197
2020-01-13,1.2232
2020-01-14,1.2242
2020-01-15,1.2169
2020-01-16,1.2089
2020-01-17,1.2084
2020-01-20,1.2077
2020-01-21,1.1888
2020-01-22,1.1905
2020-01-23,1.1574
2020-02-03,1.0642
2020-02-04,1.0855
2020-02-05,1.0964
2020-02-06,1.1068
2020-02-07,1.1004
2020-02-10,1.1161
2020-02-11,1.1248
2020-02-12,1.1297
2020-02-13,1.1248
2020-02-14,1.1334
2020-02-17,1.1546
2020-02-18,1.147
2020-02-19,1.1448
2020-02-20,1.1584
2020-02-21,1.1592
2020-02-24,1.1464
2020-02-25,1.1343
2020-02-26,1.1418
2020-02-27,1.1486
2020-02-28,1.1224
2020-03-02,1.1617
2020-03-03,1.1601
2020-03-04,1.1755
2020-03-05,1.1895
2020-03-06,1.1719
2020-03-09,1.1429
2020-03-10,1.1558
2020-03-11,1.1439
2020-03-12,1.1285
2020-03-13,1.1114
2020-03-16,1.0838
2020-03-17,1.0812
2020-03-18,1.0636
2020-03-19,1.0456
2020-03-20,1.0632
2020-03-23,1.0335
2020-03-24,1.0598
2020-03-25,1.0836
2020-03-26,1.0762
2020-03-27,1.0828
2020-03-30,1.0756
2020-03-31,1.0715
2020-04-01,1.0672
2020-04-02,1.0775
2020-04-03,1.0737
2020-04-07,1.0899
2020-04-08,1.0875
2020-04-09,1.0901
2020-04-10,1.0848
2020-04-13,1.0857
2020-04-14,1.0954
2020-04-15,1.0889
2020-04-16,1.0874
2020-04-17,1.0921
2020-04-20,1.0961
2020-04-21,1.088
2020-04-22,1.0888
2020-04-23,1.0866
2020-04-24,1.0805
2020-04-27,1.0885
2020-04-28,1.0886
2020-04-29,1.1083
2020-04-30,1.1175
2020-05-06,1.1145
2020-05-07,1.1166
2020-05-08,1.1236
2020-05-11,1.1299
2020-05-12,1.1233
2020-05-13,1.1268
2020-05-14,1.1131
2020-05-15,1.1094
2020-05-18,1.1149
2020-05-19,1.1186
2020-05-20,1.1131
2020-05-21,1.1112
2020-05-22,1.0916
2020-05-25,1.0956
2020-05-26,1.0987
2020-05-27,1.1023
2020-05-28,1.1093
2020-05-29,1.1024
2020-06-01,1.1223
2020-06-02,1.1284
2020-06-03,1.1266
2020-06-04,1.1293
2020-06-05,1.1286
2020-06-08,1.1349
2020-06-09,1.1402
2020-06-10,1.1365
2020-06-11,1.1265
2020-06-12,1.129
2020-06-15,1.1177
2020-06-16,1.133
2020-06-17,1.1352
2020-06-18,1.1415
2020-06-19,1.146
2020-06-22,1.1382
2020-06-23,1.1346
2020-06-24,1.1402
2020-06-29,1.1345
2020-06-30,1.1454
2020-07-01,1.1736
2020-07-02,1.2067
2020-07-03,1.2246
2020-07-06,1.3015
2020-07-07,1.2961
2020-07-08,1.305
2020-07-09,1.3183
2020-07-10,1.2923
2020-07-13,1.3202
2020-07-14,1.3149
2020-07-15,1.2978
2020-07-16,1.2788
2020-07-17,1.278
2020-07-20,1.3303
2020-07-21,1.3267
2020-07-22,1.3272
2020-07-23,1.3157
2020-07-24,1.2734
2020-07-27,1.2679
2020-07-28,1.2745
2020-07-29,1.299
2020-07-30,1.3003
2020-07-31,1.3163
2020-08-03,1.3465
2020-08-04,1.3493
2020-08-05,1.3421
2020-08-06,1.3431
2020-08-07,1.34
2020-08-10,1.3526
2020-08-11,1.3467
2020-08-12,1.3437
2020-08-13,1.3508
2020-08-14,1.3611
2020-08-17,1.3964
2020-08-18,1.3979
2020-08-19,1.3888
2020-08-20,1.3748
2020-08-21,1.3775
2020-08-24,1.3819
2020-08-25,1.3777
2020-08-26,1.3567
2020-08-27,1.3576
2020-08-28,1.376
2020-08-31,1.3627
2020-09-01,1.3594
2020-09-02,1.3542
2020-09-03,1.3474
2020-09-04,1.3404
2020-09-07,1.3237
2020-09-08,1.3333
2020-09-09,1.3095
2020-09-10,1.3045
2020-09-11,1.3077
2020-09-14,1.3085
2020-09-15,1.3126
2020-09-16,1.3183
2020-09-17,1.3179
2020-09-18,1.3468
2020-09-21,1.3388
2020-09-22,1.3189
2020-09-23,1.3179
2020-09-24,1.2962
2020-09-25,1.2896
2020-09-28,1.2944
2020-09-29,1.2953
2020-09-30,1.2867
2020-10-09,1.309
2020-10-12,1.3333
2020-10-13,1.3353
2020-10-14,1.3303
2020-10-15,1.3288
2020-10-16,1.3395
2020-10-19,1.3324
2020-10-20,1.3301
2020-10-21,1.3312
2020-10-22,1.3247
2020-10-23,1.3201
2020-10-26,1.3166
2020-10-27,1.3148
2020-10-28,1.3094
2020-10-29,1.319
2020-10-30,1.3018
2020-11-02,1.3134
2020-11-03,1.3289
2020-11-04,1.3361
2020-11-05,1.3532
2020-11-06,1.3602
2020-11-09,1.3833
2020-11-10,1.3771
2020-11-11,1.3842
2020-11-12,1.3904
2020-11-13,1.3771
2020-11-16,1.4104
2020-11-17,1.4144
2020-11-18,1.4221
2020-11-19,1.4129
2020-11-20,1.4185
2020-11-23,1.4406
2020-11-24,1.4329
2020-11-25,1.4119
2020-11-26,1.4135
2020-11-27,1.424
2020-11-30,1.412
2020-12-01,1.4276
2020-12-02,1.4289
2020-12-03,1.4131
2020-12-04,1.4093
2020-12-07,1.3902
2020-12-08,1.3883
2020-12-09,1.3697
2020-12-10,1.3687
2020-12-11,1.3634
2020-12-14,1.3547
2020-12-15,1.3512
2020-12-16,1.3454
2020-12-17,1.3538
2020-12-18,1.3626
2020-12-21,1.3608
2020-12-22,1.3307
2020-12-23,1.3306
2020-12-24,1.3212
2020-12-25,1.3297
2020-12-28,1.3253
2020-12-29,1.3197
2020-12-30,1.3237
2020-12-31,1.3305
2021-01-04,1.3216
2021-01-05,1.3208
2021-01-06,1.3324
2021-01-07,1.3329
2021-01-08,1.3368
2021-01-11,1.3244
2021-01-12,1.3251
2021-01-13,1.3235
2021-01-14,1.3214
2021-01-15,1.3291
2021-01-18,1.3385
2021-01-19,1.3516
2021-01-20,1.3385
2021-01-21,1.3385
2021-01-22,1.3161
2021-01-25,1.3013
2021-01-26,1.2979
2021-01-27,1.3016
2021-01-28,1.2875
2021-01-29,1.2866
2021-02-01,1.2989
2021-02-02,1.2936
2021-02-03,1.2887
2021-02-04,1.2856
2021-02-05,1.3052
2021-02-08,1.3059
2021-02-09,1.3115
2021-02-10,1.3174
2021-02-18,1.3446
2021-02-19,1.3672
2021-02-22,1.3787
2021-02-23,1.3671
2021-02-24,1.3648
2021-02-25,1.3957
2021-02-26,1.3682
2021-03-01,1.3884
2021-03-02,1.379
2021-03-03,1.4101
2021-03-04,1.412
2021-03-05,1.3921
2021-03-08,1.385
2021-03-09,1.3708
2021-03-10,1.3613
2021-03-11,1.3954
2021-03-12,1.4227
2021-03-15,1.4317
2021-03-16,1.4365
2021-03-17,1.4275
2021-03-18,1.4301
2021-03-19,1.4126
2021-03-22,1.4283
2021-03-23,1.4109
2021-03-24,1.3933
2021-03-25,1.3899
2021-03-26,1.401
2021-03-29,1.4263
2021-03-30,1.4221
2021-03-31,1.4219
2021-04-01,1.4294
2021-04-02,1.416
2021-04-06,1.4159
2021-04-07,1.4302
2021-04-08,1.4273
2021-04-09,1.4241
2021-04-12,1.4277
2021-04-13,1.4179
2021-04-14,1.4243
2021-04-15,1.4248
2021-04-16,1.4452
2021-04-19,1.4413
2021-04-20,1.4386
2021-04-21,1.4425
2021-04-22,1.4428
2021-04-23,1.4329
2021-04-26,1.4269
2021-04-27,1.4221
2021-04-28,1.4336
