datetime,close,acc_close,div
2006-01-24,1257.13,,0.0338
2006-01-25,1270.83,,0.0335
2006-02-06,1324.32,,0.0323
2006-02-07,1318.64,,0.0323
2006-02-08,1315.31,,0.0324
2006-02-09,1294.59,,0.033
2006-02-10,1313.82,,0.0325
2006-02-13,1307.68,,0.0327
2006-02-14,1324.83,,0.0323
2006-02-15,1329.16,,0.0319
2006-02-16,1299.13,,0.0327
2006-02-17,1312.57,,0.0325
2006-02-20,1315.29,,0.0313
2006-02-21,1328.25,,0.031
2006-02-22,1333.88,,0.0308
2006-02-23,1328.35,,0.031
2006-02-24,1343.83,,0.0305
2006-02-27,1333.81,,0.0307
2006-02-28,1337.27,,0.0306
2006-03-01,1330.65,,0.0317
2006-03-02,1312.57,,0.0322
2006-03-03,1317.52,,0.0321
2006-03-06,1308.26,,0.0324
2006-03-07,1274.48,,0.0335
2006-03-08,1257.34,,0.0342
2006-03-09,1254.58,,0.0343
2006-03-10,1263.43,,0.0331
2006-03-13,1288.94,,0.0305
2006-03-14,1290.19,,0.0305
2006-03-15,1308.65,,0.0301
2006-03-16,1312.59,,0.0299
2006-03-17,1302.68,,0.0306
2006-03-20,1323.61,,0.0306
2006-03-21,1328.24,,0.0306
2006-03-22,1345.95,,0.0314
2006-03-23,1342.8,,0.0315
2006-03-24,1338.49,,0.0314
2006-03-27,1362.19,,0.031
2006-03-28,1379.63,,0.0306
2006-03-29,1392.24,,0.0311
2006-03-30,1377.07,,0.0314
2006-03-31,1389.01,,0.032
2006-04-03,1420.28,,0.0318
2006-04-04,1425.52,,0.0317
2006-04-05,1442.87,,0.0315
2006-04-06,1453.33,,0.0312
2006-04-07,1451.91,,0.0313
2006-04-10,1461.3,,0.031
2006-04-11,1477.94,,0.0307
2006-04-12,1459.28,,0.0359
2006-04-13,1440.57,,0.0375
2006-04-14,1481.21,,0.0363
2006-04-17,1486.17,,0.0353
2006-04-18,1505.98,,0.0346
2006-04-19,1517.36,,0.0346
2006-04-20,1515.9,,0.0342
2006-04-21,1521.48,,0.0343
2006-04-24,1488.55,,0.0359
2006-04-25,1500.99,,0.0358
2006-04-26,1511.36,,0.0365
2006-04-27,1506.7,,0.0366
2006-04-28,1503.23,,0.0368
2006-05-08,1568.8,,0.0348
