datetime,nav
2019-09-11,1
2019-09-12,1.0001
2019-09-20,1.0004
2019-09-23,1.0006
2019-09-27,1.0008
2019-09-30,1.0009
2019-10-08,1.0012
2019-10-09,1.0013
2019-10-10,1.0013
2019-10-11,1.0013
2019-10-14,1.0015
2019-10-15,1.0014
2019-10-16,1.0013
2019-10-17,1.0013
2019-10-18,1.0001
2019-10-21,1.0004
2019-10-22,1.0009
2019-10-23,0.9996
2019-10-24,0.999
2019-10-25,1.0003
2019-10-28,1.0018
2019-10-29,1.0024
2019-10-30,1.0012
2019-10-31,1.0023
2019-11-01,1.0066
2019-11-04,1.0081
2019-11-05,1.0092
2019-11-06,1.0074
2019-11-07,1.0079
2019-11-08,1.0079
2019-11-11,1.0023
2019-11-12,1.0021
2019-11-13,1.0028
2019-11-14,1.0029
2019-11-15,1.0004
2019-11-18,1.0031
2019-11-19,1.0074
2019-11-20,1.0049
2019-11-21,1.0022
2019-11-22,0.9961
2019-11-25,1.0028
2019-11-26,1.0052
2019-11-27,1.0015
2019-11-28,0.9979
2019-11-29,0.9898
2019-12-02,0.9908
2019-12-03,0.9923
2019-12-04,0.9913
2019-12-05,0.9954
2019-12-06,1.0018
2019-12-09,1.0012
2019-12-10,1.0023
2019-12-11,1.0012
2019-12-12,0.9992
2019-12-13,1.0111
2019-12-16,1.0171
2019-12-17,1.0275
2019-12-18,1.025
2019-12-19,1.024
2019-12-20,1.0248
2019-12-23,1.0168
2019-12-24,1.0182
2019-12-25,1.0162
2019-12-26,1.0211
2019-12-27,1.0269
2019-12-30,1.0446
2019-12-31,1.0488
2020-01-02,1.0559
2020-01-03,1.0484
2020-01-06,1.0382
2020-01-07,1.0473
2020-01-08,1.043
2020-01-09,1.0569
2020-01-10,1.0563
2020-01-13,1.0644
2020-01-14,1.0588
2020-01-15,1.055
2020-01-16,1.0532
2020-01-17,1.0523
2020-01-20,1.0488
2020-01-21,1.0286
2020-01-22,1.0329
2020-01-23,1.0022
2020-02-03,0.9299
2020-02-04,0.9546
2020-02-05,0.966
2020-02-06,0.9771
2020-02-07,0.9763
2020-02-10,0.9825
2020-02-11,0.9964
2020-02-12,1.0002
2020-02-13,0.9984
2020-02-14,1.002
2020-02-17,1.0183
2020-02-18,1.0095
2020-02-19,1.0129
2020-02-20,1.0286
2020-02-21,1.03
2020-02-24,1.0178
2020-02-25,1.0103
2020-02-26,1.0057
2020-02-27,1.0133
2020-02-28,0.9839
2020-03-02,1.014
2020-03-03,1.0175
2020-03-04,1.0277
2020-03-05,1.0497
2020-03-06,1.0315
2020-03-09,1
2020-03-10,1.0199
2020-03-11,1.0089
2020-03-12,0.9892
2020-03-13,0.9709
2020-03-16,0.9375
2020-03-17,0.9266
2020-03-18,0.9105
2020-03-19,0.8911
2020-03-20,0.9095
2020-03-23,0.8786
2020-03-24,0.9043
2020-03-25,0.932
2020-03-26,0.9256
2020-03-27,0.9354
2020-03-30,0.9245
2020-03-31,0.9332
2020-04-01,0.9307
2020-04-02,0.9439
2020-04-03,0.9406
2020-04-07,0.9573
2020-04-08,0.9524
2020-04-09,0.9531
2020-04-10,0.952
2020-04-13,0.9505
2020-04-14,0.9645
2020-04-15,0.9572
2020-04-16,0.9544
2020-04-17,0.9658
2020-04-20,0.971
2020-04-21,0.9554
2020-04-22,0.9678
2020-04-23,0.9713
2020-04-24,0.9683
2020-04-27,0.9724
2020-04-28,0.9794
2020-04-29,0.9814
2020-04-30,0.9898
2020-05-06,0.9992
2020-05-07,1.0011
2020-05-08,1.0125
2020-05-11,1.0162
2020-05-12,1.0169
2020-05-13,1.0213
2020-05-14,1.0105
2020-05-15,1.0023
2020-05-18,1.0136
2020-05-19,1.0249
2020-05-20,1.0198
2020-05-21,1.0175
2020-05-22,0.994
2020-05-25,1.0017
2020-05-26,1.0102
2020-05-27,1.0045
2020-05-28,1.0058
2020-05-29,1.0088
2020-06-01,1.0351
2020-06-02,1.0359
2020-06-03,1.037
2020-06-04,1.0391
2020-06-05,1.0417
2020-06-08,1.0536
2020-06-09,1.0612
2020-06-10,1.0588
2020-06-11,1.0464
2020-06-12,1.0495
2020-06-15,1.0322
2020-06-16,1.0448
2020-06-17,1.0436
2020-06-18,1.0496
2020-06-19,1.0667
2020-06-22,1.0635
2020-06-23,1.0715
2020-06-24,1.0832
2020-06-29,1.0776
2020-06-30,1.0852
2020-07-01,1.1211
2020-07-02,1.1464
2020-07-03,1.1558
2020-07-06,1.2069
2020-07-07,1.2218
2020-07-08,1.226
2020-07-09,1.2489
2020-07-10,1.2379
2020-07-13,1.2654
2020-07-14,1.2608
2020-07-15,1.2614
2020-07-16,1.2183
2020-07-17,1.2404
2020-07-20,1.2679
2020-07-21,1.2745
2020-07-22,1.2865
2020-07-23,1.2817
2020-07-24,1.2305
2020-07-27,1.2436
2020-07-28,1.2644
2020-07-29,1.2847
2020-07-30,1.2838
2020-07-31,1.2913
2020-08-03,1.3073
2020-08-04,1.3057
2020-08-05,1.306
2020-08-06,1.2971
2020-08-07,1.2835
2020-08-10,1.2913
2020-08-11,1.2893
2020-08-12,1.2762
2020-08-13,1.277
2020-08-14,1.2969
2020-08-17,1.3167
2020-08-18,1.3179
2020-08-19,1.305
2020-08-20,1.2917
2020-08-21,1.3008
2020-08-24,1.3124
2020-08-25,1.3197
2020-08-26,1.3116
2020-08-27,1.3217
2020-08-28,1.354
2020-08-31,1.354
2020-09-01,1.3577
2020-09-02,1.3575
2020-09-03,1.3611
2020-09-04,1.3461
2020-09-07,1.3186
2020-09-08,1.317
2020-09-09,1.2858
2020-09-10,1.2949
2020-09-11,1.3039
2020-09-14,1.3126
2020-09-15,1.3241
2020-09-16,1.3184
2020-09-17,1.3123
2020-09-18,1.3323
2020-09-21,1.3203
2020-09-22,1.3079
2020-09-23,1.3071
2020-09-24,1.2883
2020-09-25,1.2858
2020-09-28,1.2933
2020-09-29,1.2954
2020-09-30,1.2977
2020-10-09,1.3217
2020-10-12,1.3633
2020-10-13,1.3697
2020-10-14,1.3624
2020-10-15,1.3609
2020-10-16,1.3604
2020-10-19,1.3521
2020-10-20,1.3705
2020-10-21,1.371
2020-10-22,1.3724
2020-10-23,1.3528
2020-10-26,1.3506
2020-10-27,1.3493
2020-10-28,1.3689
2020-10-29,1.3924
2020-10-30,1.372
2020-11-02,1.3883
2020-11-03,1.3982
2020-11-04,1.4185
2020-11-05,1.4457
2020-11-06,1.4524
2020-11-09,1.4723
2020-11-10,1.4672
2020-11-11,1.4577
2020-11-12,1.4641
2020-11-13,1.4453
2020-11-16,1.4611
2020-11-17,1.4613
2020-11-18,1.4565
2020-11-19,1.4707
2020-11-20,1.4742
2020-11-23,1.4869
