datetime,close
2020-05-22,1.0001
2020-05-29,1.0002
2020-06-05,0.9998
2020-06-12,0.9989
2020-06-19,1.0089
2020-06-24,1.0041
2020-06-30,1.0055
2020-07-02,1.0473
2020-07-03,1.0702
2020-07-06,1.1337
2020-07-07,1.13
2020-07-08,1.1438
2020-07-09,1.1535
2020-07-10,1.134
2020-07-13,1.1491
2020-07-14,1.1372
2020-07-15,1.119
2020-07-16,1.1281
2020-07-17,1.1233
2020-07-20,1.1658
2020-07-21,1.1606
2020-07-22,1.1616
2020-07-23,1.1508
2020-07-24,1.1225
2020-07-27,1.1191
2020-07-28,1.1248
2020-07-29,1.1409
2020-07-30,1.1412
2020-07-31,1.1465
2020-08-03,1.1664
2020-08-04,1.1697
2020-08-05,1.1606
2020-08-06,1.1619
2020-08-07,1.154
2020-08-10,1.1698
2020-08-11,1.1623
2020-08-12,1.1672
2020-08-13,1.1736
2020-08-14,1.1793
2020-08-17,1.2046
2020-08-18,1.2087
2020-08-19,1.2054
2020-08-20,1.1928
2020-08-21,1.2003
2020-08-24,1.2071
2020-08-25,1.2023
2020-08-26,1.1911
2020-08-27,1.1931
2020-08-28,1.2078
2020-08-31,1.2033
2020-09-01,1.2059
2020-09-02,1.2023
2020-09-03,1.1989
2020-09-04,1.1909
2020-09-07,1.1786
2020-09-08,1.192
2020-09-09,1.1796
2020-09-10,1.1725
2020-09-11,1.1698
2020-09-14,1.1707
2020-09-15,1.169
2020-09-16,1.1716
2020-09-17,1.1697
2020-09-18,1.193
2020-09-21,1.1876
2020-09-22,1.1722
2020-09-23,1.1696
2020-09-24,1.1501
2020-09-25,1.1481
2020-09-28,1.153
2020-09-29,1.1539
2020-09-30,1.1477
2020-10-09,1.1641
2020-10-12,1.1832
2020-10-13,1.1823
2020-10-14,1.1764
2020-10-15,1.1792
2020-10-16,1.1891
2020-10-19,1.182
2020-10-20,1.1804
2020-10-21,1.1823
2020-10-22,1.1813
2020-10-23,1.1801
2020-10-26,1.1751
2020-10-27,1.171
2020-10-28,1.1679
2020-10-29,1.1656
2020-10-30,1.1522
2020-11-02,1.1537
2020-11-03,1.1687
2020-11-04,1.1697
2020-11-05,1.1824
2020-11-06,1.1866
2020-11-09,1.2044
2020-11-10,1.2015
2020-11-11,1.2116
2020-11-12,1.2053
2020-11-13,1.1932
2020-11-16,1.2136
2020-11-17,1.2145
2020-11-18,1.2207
2020-11-19,1.219
2020-11-20,1.225
2020-11-23,1.2435
2020-11-24,1.2422
2020-11-25,1.2303
2020-11-26,1.2345
2020-11-27,1.2457
2020-11-30,1.238
2020-12-01,1.2547
2020-12-02,1.2576
2020-12-03,1.2467
2020-12-04,1.2409
2020-12-07,1.227
2020-12-08,1.2202
2020-12-09,1.2148
2020-12-10,1.2173
2020-12-11,1.2085
2020-12-14,1.1973
2020-12-15,1.195
2020-12-16,1.1941
2020-12-17,1.2084
2020-12-18,1.2189
2020-12-21,1.2209
2020-12-22,1.1921
2020-12-23,1.195
2020-12-24,1.188
2020-12-25,1.2004
2020-12-28,1.1943
2020-12-29,1.187
2020-12-30,1.192
2020-12-31,1.1979
2021-01-04,1.1998
2021-01-05,1.1932
2021-01-06,1.1988
2021-01-07,1.2011
2021-01-08,1.2046
2021-01-11,1.1841
2021-01-12,1.1959
2021-01-13,1.2047
2021-01-14,1.209
2021-01-15,1.2121
2021-01-18,1.2173
2021-01-19,1.2194
2021-01-20,1.2171
2021-01-21,1.2188
2021-01-22,1.2015
2021-01-25,1.192
2021-01-26,1.1882
2021-01-27,1.1916
2021-01-28,1.1778
2021-01-29,1.1674
2021-02-01,1.1744
2021-02-02,1.1681
2021-02-03,1.1628
2021-02-04,1.1586
2021-02-05,1.1643
2021-02-08,1.1736
2021-02-09,1.1817
2021-02-10,1.1894
2021-02-18,1.2191
2021-02-19,1.2415
2021-02-22,1.2592
2021-02-23,1.2544
2021-02-24,1.2416
2021-02-25,1.2589
2021-02-26,1.2354
2021-03-01,1.2501
2021-03-02,1.2416
2021-03-04,1.2783
2021-03-05,1.2649
2021-03-08,1.2655
