datetime,close,acc_close,div
2013-07-02,,,0.0312
2013-07-03,,,0.0311
2013-07-04,,,0.0312
2013-07-05,,,0.0313
2013-07-08,,,0.0317
2013-07-09,,,0.032
2013-07-10,,,0.0315
2013-07-11,,,0.0309
2013-07-12,,,0.0315
2013-07-15,,,0.0314
2013-07-16,,,0.031
2013-07-17,,,0.0316
2013-07-18,,,0.0319
2013-07-19,,,0.0331
2013-07-22,,,0.0331
2013-07-23,,,0.0324
2013-07-24,,,0.0328
2013-07-25,,,0.0324
2013-07-26,,,0.0329
2013-07-29,,,0.0329
2013-07-30,,,0.033
2013-07-31,,,0.0333
2013-08-01,,,0.0326
2013-08-02,,,0.0321
2013-08-05,,,0.0317
2013-08-06,,,0.0316
2013-08-07,,,0.0316
2013-08-08,,,0.0318
2013-08-09,,,0.032
2013-08-12,,,0.0312
2013-08-13,,,0.031
2013-08-14,,,0.0312
2013-08-15,,,0.0313
2013-08-16,,,0.0318
2013-08-19,,,0.0316
2013-08-20,,,0.0317
2013-08-21,,,0.0316
2013-08-22,,,0.0316
2013-08-23,,,0.0319
2013-08-26,,,0.0316
2013-08-27,,,0.0315
2013-08-28,,,0.0321
2013-08-29,,,0.0323
2013-08-30,,,0.0325
2013-09-02,,,0.0339
2013-09-03,,,0.0334
2013-09-04,,,0.0333
2013-09-05,,,0.0334
2013-09-06,,,0.0334
2013-09-09,,,0.0331
2013-09-10,,,0.0329
2013-09-11,,,0.0327
2013-09-12,,,0.0327
2013-09-13,,,0.0324
2013-09-16,,,0.0327
2013-09-17,,,0.0338
2013-09-18,,,0.0337
2013-09-23,,,0.0336
2013-09-24,,,0.034
2013-09-25,,,0.0342
2013-09-26,,,0.0342
2013-09-27,,,0.0342
2013-09-30,,,0.0338
2013-10-08,,,0.0335
2013-10-09,,,0.0333
2013-10-10,,,0.0336
2013-10-11,,,0.0333
2013-10-14,,,0.0324
2013-10-15,,,0.0321
2013-10-16,,,0.0325
2013-10-17,,,0.0325
2013-10-18,,,0.0327
2013-10-21,,,0.0321
2013-10-22,,,0.0323
2013-10-23,,,0.0331
2013-10-24,,,0.0332
2013-10-25,,,0.0344
2013-10-28,,,0.035
2013-10-29,,,0.0352
2013-10-30,,,0.035
2013-10-31,,,0.035
2013-11-01,,,0.0352
2013-11-04,,,0.0349
2013-11-05,,,0.0345
2013-11-06,,,0.0344
2013-11-07,,,0.0347
2013-11-08,,,0.0351
2013-11-11,,,0.0347
2013-11-12,,,0.0339
2013-11-13,,,0.0342
2013-11-14,,,0.0341
2013-11-15,,,0.0338
2013-11-18,,,0.0332
2013-11-19,,,0.0333
2013-11-20,,,0.0333
2013-11-21,,,0.0336
2013-11-22,,,0.0338
2013-11-25,,,0.0337
2013-11-26,,,0.0339
2013-11-27,,,0.0338
2013-11-28,,,0.0333
2013-11-29,,,0.0333
2013-12-02,,,0.0346
2013-12-03,,,0.034
2013-12-04,,,0.0335
2013-12-05,,,0.0337
2013-12-06,,,0.0335
2013-12-09,,,0.0335
2013-12-10,,,0.0335
2013-12-11,,,0.0337
2013-12-12,,,0.0337
2013-12-13,,,0.0337
2013-12-16,,,0.0364
2013-12-17,,,0.0367
2013-12-18,,,0.0369
2013-12-19,,,0.0372
2013-12-20,,,0.0382
2013-12-23,,,0.0382
2013-12-24,,,0.038
2013-12-25,,,0.0379
2013-12-26,,,0.0385
2013-12-27,,,0.0379
2013-12-30,,,0.038
2013-12-31,,,0.037
2014-01-02,,,0.0374
2014-01-03,,,0.0381
2014-01-06,,,0.0393
2014-01-07,,,0.0394
2014-01-08,,,0.0395
2014-01-09,,,0.0398
2014-01-10,,,0.0399
2014-01-13,,,0.0398
2014-01-14,,,0.0392
2014-01-15,,,0.0396
2014-01-16,,,0.0392
2014-01-17,,,0.0399
2014-01-20,,,0.0395
2014-01-21,,,0.0394
2014-01-22,,,0.0381
2014-01-23,,,0.0383
2014-01-24,,,0.0381
2014-01-27,,,0.0379
2014-01-28,,,0.0383
2014-01-29,,,0.0386
2014-01-30,,,0.0395
2014-02-07,,,0.0391
2014-02-10,,,0.0384
2014-02-11,,,0.0381
2014-02-12,,,0.038
2014-02-13,,,0.0377
2014-02-14,,,0.0362
2014-02-17,,,0.0352
2014-02-18,,,0.0356
2014-02-19,,,0.0351
2014-02-20,,,0.0354
