datetime,close
2006-11-22,1.004
2006-11-29,1.016
2006-12-06,1.057
2006-12-13,1.099
2006-12-20,1.135
2006-12-27,1.161
2006-12-29,1.193
2006-12-31,1.193
2007-01-04,1.193
2007-01-05,1.245
2007-01-10,1.36
2007-01-11,1.322
2007-01-12,1.26
2007-01-15,1.323
2007-01-16,1.342
2007-01-17,1.328
2007-01-18,1.311
2007-01-19,1.34
2007-01-22,1.385
2007-01-23,1.421
2007-01-24,1.465
2007-01-25,1.401
2007-01-26,1.432
2007-01-29,1.48
2007-01-30,1.489
2007-01-31,1.387
2007-02-01,1.373
2007-02-02,1.311
2007-02-05,1.286
2007-02-06,1.306
2007-02-07,1.339
2007-02-08,1.361
2007-02-09,1.335
2007-02-12,1.39
2007-02-13,1.409
2007-02-14,1.448
2007-02-15,1.506
2007-02-16,1.524
2007-02-26,1.597
2007-02-27,1.447
2007-02-28,1.517
2007-03-01,1.479
2007-03-02,1.492
2007-03-05,1.468
2007-03-06,1.482
2007-03-07,1.517
2007-03-08,1.525
2007-03-09,1.522
2007-03-12,1.533
2007-03-13,1.54
2007-03-14,1.498
2007-03-15,1.533
2007-03-16,1.493
2007-03-19,1.521
2007-03-20,1.534
2007-03-21,1.553
2007-03-22,1.567
2007-03-23,1.573
2007-03-26,1.61
2007-03-27,1.619
2007-03-28,1.634
2007-03-29,1.617
2007-03-30,1.626
2007-04-02,1.679
2007-04-03,1.698
2007-04-04,1.702
2007-04-05,1.718
2007-04-06,1.735
2007-04-09,1.785
2007-04-10,1.822
2007-04-11,1.849
2007-04-12,1.868
2007-04-13,1.856
2007-04-16,1.896
2007-04-17,1.929
2007-04-18,1.946
2007-04-19,1.839
2007-04-20,1.922
2007-04-23,2.035
2007-04-24,2.072
2007-04-25,2.068
2007-04-26,2.094
2007-04-27,2.086
2007-04-30,2.116
2007-05-08,2.221
2007-05-09,2.231
2007-05-10,2.265
2007-05-11,2.243
2007-05-14,2.268
2007-05-15,2.176
2007-05-16,2.226
2007-05-17,2.267
2007-05-18,2.263
2007-05-21,2.29
2007-05-22,2.319
2007-05-23,2.377
2007-05-24,2.347
2007-05-25,2.361
2007-05-28,2.416
2007-05-29,2.475
2007-05-30,2.303
2007-05-31,2.323
2007-06-01,2.214
2007-06-04,2.026
2007-06-05,2.109
2007-06-06,2.114
2007-06-07,2.191
2007-06-08,2.194
2007-06-11,2.232
2007-06-12,2.326
2007-06-13,2.372
2007-06-14,2.32
2007-06-15,2.319
2007-06-18,2.381
2007-06-19,2.406
2007-06-20,2.354
2007-06-21,2.377
2007-06-22,2.288
2007-06-25,2.164
2007-06-26,2.206
2007-06-27,2.26
2007-06-28,2.147
2007-06-29,2.081
2007-07-02,2.11
2007-07-03,2.139
2007-07-04,2.1
2007-07-05,1.965
2007-07-06,2.063
2007-07-09,2.121
2007-07-10,2.075
2007-07-11,2.096
2007-07-12,2.11
2007-07-13,2.107
2007-07-16,2.037
2007-07-17,2.077
2007-07-18,2.096
2007-07-19,2.072
2007-07-20,2.152
2007-07-23,2.283
2007-07-24,2.289
2007-07-25,2.36
2007-07-26,2.377
2007-07-27,2.404
2007-07-30,2.474
2007-07-31,2.495
2007-08-01,2.4
2007-08-02,2.48
2007-08-03,2.525
2007-08-06,2.605
2007-08-07,2.627
2007-08-08,2.574
2007-08-09,2.628
2007-08-10,2.607
2007-08-13,2.62
2007-08-14,2.647
2007-08-15,2.66
2007-08-16,2.613
2007-08-17,2.569
2007-08-20,2.736
2007-08-21,2.764
2007-08-22,2.774
2007-08-23,2.808
2007-08-24,2.889
2007-08-27,2.928
2007-08-28,2.931
2007-08-29,2.872
2007-08-30,2.919
2007-08-31,2.973
2007-09-03,3.091
2007-09-04,3.069
2007-09-05,3.082
2007-09-06,3.144
2007-09-07,3.106
2007-09-10,3.162
2007-09-11,2.995
2007-09-12,3.042
2007-09-13,3.161
2007-09-14,3.244
2007-09-17,3.337
2007-09-18,3.3
2007-09-19,3.258
2007-09-20,3.269
2007-09-21,3.196
2007-09-24,3.234
2007-09-25,3.175
2007-09-26,3.094
2007-09-27,3.122
2007-09-28,3.193
2007-10-08,3.177
2007-10-09,3.202
2007-10-10,3.232
2007-10-11,3.241
2007-10-12,3.25
2007-10-15,3.41
2007-10-16,3.375
2007-10-17,3.39
2007-10-18,3.242
2007-10-19,3.219
2007-10-22,3.078
2007-10-23,3.127
2007-10-24,3.21
2007-10-25,3.001
2007-10-26,3.059
2007-10-29,3.128
2007-10-30,3.196
2007-10-31,3.221
2007-11-01,3.233
2007-11-02,3.179
2007-11-05,3.08
2007-11-06,2.976
2007-11-07,2.982
2007-11-08,2.822
2007-11-09,2.824
2007-11-12,2.754
2007-11-13,2.791
2007-11-14,2.904
2007-11-15,2.858
