datetime,close,acc_close,div
2017-05-26,9588.42,12742.4,0.0332
2017-05-31,9618.93,12784.33,0.0331
2017-06-01,9636.35,12809.42,0.0328
2017-06-02,9637.91,12812.29,0.033
2017-06-05,9579.65,12743.2,0.0335
2017-06-06,9602.93,12774.18,0.0334
2017-06-07,9692.54,12898.6,0.0332
2017-06-08,9776.04,13009.72,0.0329
2017-06-09,9823.54,13076.44,0.0328
2017-06-12,9793.14,13044,0.0334
2017-06-13,9821.93,13082.34,0.0334
2017-06-14,9725.94,12982.04,0.0337
2017-06-15,9687,12942.16,0.0341
2017-06-16,9629.01,12884.08,0.0342
2017-06-19,9678.39,12950.15,0.034
2017-06-20,9656.43,12924.34,0.034
2017-06-21,9718.77,13012.85,0.0338
2017-06-22,9736.72,13037.9,0.0335
2017-06-23,9778.08,13093.86,0.0333
2017-06-26,9852.69,13193.77,0.0333
2017-06-27,9869.31,13216.03,0.0332
2017-06-28,9844.62,13184.27,0.0333
2017-06-29,9887.33,13259.12,0.0331
2017-06-30,9885.02,13278.76,0.0331
2017-07-03,9885.47,13279.36,0.0332
2017-07-04,9845.16,13233.1,0.0333
2017-07-05,9882.57,13288.36,0.0331
2017-07-06,9890.8,13303.83,0.033
2017-07-07,9913.18,13344.75,0.0332
2017-07-10,9883.08,13333.93,0.0331
2017-07-11,9885.6,13354.38,0.0329
2017-07-12,9842.89,13300.57,0.033
2017-07-13,9906.04,13404.53,0.0327
2017-07-14,9933.34,13472.58,0.0326
2017-07-17,9836.07,13340.66,0.0321
2017-07-18,9822.55,13330.03,0.0324
2017-07-19,9938.11,13494.59,0.0322
2017-07-20,9997.66,13575.45,0.0321
2017-07-21,9980.94,13565.58,0.0322
2017-07-24,10033.68,13637.26,0.0321
2017-07-25,10004.67,13597.84,0.0319
2017-07-26,9986.81,13573.57,0.0318
2017-07-27,10030.62,13635.07,0.0319
2017-07-28,10019.11,13620.3,0.0318
2017-07-31,10036.05,13653.34,0.0319
2017-08-01,10097.71,13737.23,0.0315
2017-08-02,10059.2,13688.64,0.0314
2017-08-03,10019.38,13634.46,0.0317
2017-08-04,9990.88,13595.67,0.0318
2017-08-07,9997.27,13604.37,0.0318
2017-08-08,9985.46,13595.62,0.0317
2017-08-09,9950.05,13548.02,0.0321
2017-08-10,9914.81,13500.03,0.0322
2017-08-11,9782.61,13321.03,0.0325
2017-08-14,9824.95,13378.69,0.0325
2017-08-15,9854.74,13419.25,0.0322
2017-08-16,9844.14,13404.82,0.0323
2017-08-17,9894.86,13473.89,0.0322
2017-08-18,9905.79,13491.41,0.0324
2017-08-21,9940.1,13538.13,0.0324
2017-08-22,9937.92,13535.17,0.0322
2017-08-23,9932.7,13528.06,0.0319
2017-08-24,9904.32,13490.28,0.0319
2017-08-25,10047.48,13695.4,0.0316
2017-08-28,10123.29,13798.74,0.0317
2017-08-29,10123.93,13799.61,0.0316
2017-08-30,10101.93,13769.62,0.0318
2017-08-31,10062.83,13716.33,0.032
2017-09-01,10081.25,13741.43,0.0296
2017-09-04,10101.41,13770.07,0.0295
2017-09-05,10110.18,13782.02,0.0292
2017-09-06,10088.01,13751.8,0.0294
2017-09-07,10038.73,13684.62,0.0295
2017-09-08,10038.4,13684.17,0.0295
2017-09-11,10060.8,13714.71,0.0315
2017-09-12,10076.88,13736.62,0.0314
2017-09-13,10062.86,13717.51,0.0315
2017-09-14,10029.32,13671.79,0.0317
2017-09-15,10017.29,13656.53,0.0319
2017-09-18,10050.08,13701.24,0.0319
2017-09-19,10014.94,13653.33,0.0319
2017-09-20,10034.18,13683.1,0.0319
2017-09-21,10013.26,13654.58,0.0316
2017-09-22,10006.12,13644.84,0.0315
2017-09-25,9980.11,13609.37,0.0313
2017-09-26,9974.46,13604.24,0.0313
2017-09-27,9971.66,13600.42,0.0315
2017-09-28,9964.38,13590.49,0.0315
2017-09-29,9989.36,13624.57,0.0315
2017-10-09,10069.67,13734.1,0.0313
2017-10-10,10130.15,13816.59,0.0312
2017-10-11,10164.5,13863.43,0.031
2017-10-12,10141.04,13831.44,0.031
2017-10-13,10145.43,13837.43,0.0311
2017-10-16,10091.34,13763.66,0.0309
2017-10-17,10078.19,13745.72,0.031
2017-10-18,10126.47,13811.56,0.0306
2017-10-19,10112.81,13792.94,0.0304
2017-10-20,10145.97,13838.16,0.0306
2017-10-23,10145.78,13837.9,0.0308
2017-10-24,10183.09,13888.79,0.0306
2017-10-25,10183.05,13888.74,0.0307
2017-10-26,10157.44,13853.81,0.0309
2017-10-27,10182.83,13888.44,0.0304
2017-10-30,10097.51,13772.07,0.0303
2017-10-31,10084.51,13754.34,0.0306
2017-11-01,10042.53,13697.09,0.0307
2017-11-02,10004.37,13645.04,0.0307
2017-11-03,9968.04,13595.48,0.0307
2017-11-06,9982.23,13614.84,0.0308
2017-11-07,10035.91,13688.06,0.0305
2017-11-08,10077.43,13744.68,0.0305
2017-11-09,10088.32,13759.53,0.0306
2017-11-10,10082,13750.92,0.0306
2017-11-13,10083.03,13752.33,0.0304
2017-11-14,10028.52,13677.98,0.0305
2017-11-15,9968.91,13596.67,0.0307
2017-11-16,9949.74,13570.53,0.0307
2017-11-17,9960.49,13585.2,0.0301
2017-11-20,9987.26,13621.7,0.0297
2017-11-21,10054.07,13712.83,0.0295
2017-11-22,10114.51,13795.25,0.0291
2017-11-23,9939.64,13556.75,0.0296
2017-11-24,9950.16,13571.1,0.0296
2017-11-27,9874.14,13467.42,0.0298
2017-11-28,9854.44,13440.55,0.03
2017-11-29,9834.43,13413.26,0.0301
2017-11-30,9797.76,13363.24,0.0302
2017-12-01,9815.14,13386.95,0.0304
2017-12-04,9791.44,13354.62,0.0303
2017-12-05,9809.29,13378.97,0.0299
2017-12-06,9787.72,13349.55,0.0301
2017-12-07,9727.09,13266.86,0.0304
2017-12-08,9737.33,13280.82,0.0304
2017-12-11,9790.45,13353.27,0.0322
2017-12-12,9698.35,13227.65,0.0325
2017-12-13,9743.12,13288.72,0.0324
2017-12-14,9716.52,13252.43,0.0325
2017-12-15,9671.28,13190.74,0.0328
2017-12-18,9654.11,13167.32,0.0327
2017-12-19,9709.82,13243.3,0.0323
2017-12-20,9671.66,13191.25,0.0323
2017-12-21,9686.8,13211.9,0.0323
2017-12-22,9679.79,13202.34,0.0323
2017-12-25,9618.17,13118.3,0.0322
2017-12-26,9675.03,13195.84,0.0319
2017-12-27,9620.31,13121.22,0.0321
2017-12-28,9627.01,13130.35,0.0319
2017-12-29,9679.84,13202.41,0.0317
2018-01-02,9781.39,13340.91,0.0314
2018-01-03,9835.11,13414.19,0.0313
2018-01-04,9851.59,13436.65,0.0313
2018-01-05,9891.06,13490.49,0.0311
2018-01-08,9929.14,13542.44,0.0312
2018-01-09,9905.32,13509.94,0.0312
2018-01-10,9922.56,13533.46,0.0308
2018-01-11,9935.62,13551.27,0.0306
2018-01-12,9941.22,13558.91,0.0305
2018-01-15,9890.53,13489.77,0.0301
2018-01-16,9995.44,13632.86,0.0299
2018-01-17,10047.12,13703.34,0.0295
2018-01-18,10128.64,13814.53,0.0288
2018-01-19,10178.37,13882.36,0.0285
2018-01-22,10220.94,13940.42,0.0287
