datetime,close,acc_close,div
2013-07-02,,,0.0401
2013-07-03,,,0.0399
2013-07-04,,,0.0397
2013-07-05,,,0.0397
2013-07-08,,,0.0404
2013-07-09,,,0.0401
2013-07-10,,,0.0393
2013-07-11,,,0.0384
2013-07-12,,,0.039
2013-07-15,,,0.0389
2013-07-16,,,0.0392
2013-07-17,,,0.0396
2013-07-18,,,0.04
2013-07-19,,,0.0401
2013-07-22,,,0.0399
2013-07-23,,,0.0393
2013-07-24,,,0.0397
2013-07-25,,,0.0398
2013-07-26,,,0.0401
2013-07-29,,,0.0407
2013-07-30,,,0.0401
2013-07-31,,,0.0401
2013-08-01,,,0.0397
2013-08-02,,,0.0396
2013-08-05,,,0.0394
2013-08-06,,,0.0394
2013-08-07,,,0.0397
2013-08-08,,,0.0398
2013-08-09,,,0.0397
2013-08-12,,,0.0386
2013-08-13,,,0.0386
2013-08-14,,,0.0387
2013-08-15,,,0.039
2013-08-16,,,0.0391
2013-08-19,,,0.0389
2013-08-20,,,0.0393
2013-08-21,,,0.0392
2013-08-22,,,0.0393
2013-08-23,,,0.04
2013-08-26,,,0.0399
2013-08-27,,,0.0399
2013-08-28,,,0.04
2013-08-29,,,0.0403
2013-08-30,,,0.0406
2013-09-02,,,0.0408
2013-09-03,,,0.0404
2013-09-04,,,0.0403
2013-09-05,,,0.0404
2013-09-06,,,0.0402
2013-09-09,,,0.0392
2013-09-10,,,0.0386
2013-09-11,,,0.0384
2013-09-12,,,0.0386
2013-09-13,,,0.039
2013-09-16,,,0.039
2013-09-17,,,0.0396
2013-09-18,,,0.039
2013-09-23,,,0.0387
2013-09-24,,,0.0391
2013-09-25,,,0.0393
2013-09-26,,,0.0398
2013-09-27,,,0.0397
2013-09-30,,,0.0396
2013-10-08,,,0.0393
2013-10-09,,,0.0393
2013-10-10,,,0.0397
2013-10-11,,,0.0393
2013-10-14,,,0.0392
2013-10-15,,,0.0392
2013-10-16,,,0.0396
2013-10-17,,,0.0396
2013-10-18,,,0.0396
2013-10-21,,,0.0391
2013-10-22,,,0.0394
2013-10-23,,,0.0397
2013-10-24,,,0.0402
2013-10-25,,,0.0407
2013-10-28,,,0.0407
2013-10-29,,,0.0405
2013-10-30,,,0.0397
2013-10-31,,,0.0398
2013-11-01,,,0.0396
2013-11-04,,,0.0396
2013-11-05,,,0.0395
2013-11-06,,,0.0394
2013-11-07,,,0.0395
2013-11-08,,,0.04
2013-11-11,,,0.0399
2013-11-12,,,0.0396
2013-11-13,,,0.0404
2013-11-14,,,0.0404
2013-11-15,,,0.0398
2013-11-18,,,0.0388
2013-11-19,,,0.0388
