datetime,close,acc_close,div
2013-12-19,4650.81,,0.0565
2013-12-20,4529.74,,0.0583
2013-12-23,4565.07,,0.0575
2013-12-24,4579.66,,0.0576
2013-12-25,4611.18,,0.0574
2013-12-26,4528.7,,0.0583
2013-12-27,4604.8,,0.0577
2013-12-30,4591.6,,0.058
2013-12-31,4637.5,,0.0574
2014-01-02,4617.92,,0.0577
2014-01-03,4556.92,,0.0584
2014-01-06,4470.93,,0.059
2014-01-07,4467.58,,0.0593
2014-01-08,4470.5,,0.0594
2014-01-09,4436.54,,0.0597
2014-01-10,4394.89,,0.0597
2014-01-13,4386.69,,0.0594
2014-01-14,4435.41,,0.0594
2014-01-15,4420.92,,0.0598
2014-01-16,4428.7,,0.06
2014-01-17,4368.97,,0.0605
2014-01-20,4370.77,,0.0606
2014-01-21,4411.22,,0.0604
2014-01-22,4508.21,,0.0595
2014-01-23,4492.03,,0.0601
2014-01-24,4516.16,,0.0599
2014-01-27,4486.01,,0.0604
2014-01-28,4501.13,,0.0602
2014-01-29,4537.26,,0.0597
2014-01-30,4512.02,,0.0603
2014-02-07,4553.62,,0.0603
2014-02-10,4648.61,,0.0597
2014-02-11,4674.34,,0.0591
2014-02-12,4686.13,,0.0592
2014-02-13,4655.35,,0.0592
2014-02-14,4698.54,,0.059
2014-02-17,4755.46,,0.0588
2014-02-18,4741.43,,0.0593
2014-02-19,4791.71,,0.0582
2014-02-20,4766.25,,0.0582
2014-02-21,4709.11,,0.0587
2014-02-24,4644.37,,0.06
2014-02-25,4532.1,,0.0604
2014-02-26,4537.52,,0.0603
2014-02-27,4539.66,,0.0597
2014-02-28,4558.54,,0.0599
2014-03-03,4611.29,,0.0599
2014-03-04,4598.17,,0.06
2014-03-05,4575,,0.0605
2014-03-06,4578.05,,0.0602
2014-03-07,4567.1,,0.0602
2014-03-10,4428.28,,0.0615
2014-03-11,4441.2,,0.0615
2014-03-12,4430.66,,0.0618
2014-03-13,4528.86,,0.0608
2014-03-14,4526.83,,0.0612
2014-03-17,4566.5,,0.0609
2014-03-18,4582.02,,0.0609
2014-03-19,4566.58,,0.0611
2014-03-20,4483.54,,0.0614
2014-03-21,4599.69,,0.0598
2014-03-24,4625.19,,0.0594
2014-03-25,4640.58,,0.0592
2014-03-26,4635.78,,0.0603
2014-03-27,4609.78,,0.0613
2014-03-28,4595.04,,0.0629
2014-03-31,4588.86,,0.0645
2014-04-01,4656.43,,0.0642
2014-04-02,4681.79,,0.0639
2014-04-03,4632.15,,0.0646
2014-04-04,4654.64,,0.0643
2014-04-08,4728.73,,0.0632
2014-04-09,4739.04,,0.063
2014-04-10,4807.51,,0.062
2014-04-11,4828.21,,0.062
2014-04-14,4832.08,,0.0621
2014-04-15,4748.19,,0.0631
2014-04-16,4754.87,,0.0629
2014-04-17,4738.94,,0.0631
2014-04-18,4737.4,,0.0634
2014-04-21,4648.1,,0.0642
2014-04-22,4649.54,,0.0638
2014-04-23,4642.9,,0.0639
2014-04-24,4636.48,,0.0642
2014-04-25,4571.85,,0.0646
2014-04-28,4517.17,,0.0648
2014-04-29,4559.93,,0.0644
2014-04-30,4575.46,,0.0644
2014-05-05,4573.93,,0.0647
2014-05-06,4575.31,,0.0649
2014-05-07,4529.46,,0.065
2014-05-08,4532.39,,0.0648
2014-05-09,4513.96,,0.0646
2014-05-12,4614.79,,0.0637
2014-05-13,4609.29,,0.0639
2014-05-14,4604.8,,0.064
2014-05-15,4556.67,,0.064
2014-05-16,4557.93,,0.0639
2014-05-19,4512.78,,0.0644
2014-05-20,4509.34,,0.0644
2014-05-21,4538.02,,0.0639
2014-05-22,4530.67,,0.0638
2014-05-23,4551.87,,0.0635
2014-05-26,4573.71,,0.0635
2014-05-27,4556.35,,0.0636
2014-05-28,4588.93,,0.0631
2014-05-29,4559.54,,0.0631
2014-05-30,4542.18,,0.0633
2014-06-03,4535.03,,0.0631
2014-06-04,4491.79,,0.0635
2014-06-05,4537.58,,0.0628
2014-06-06,4513.37,,0.0632
2014-06-09,4506.72,,0.0629
2014-06-10,4557.41,,0.0621
2014-06-11,4568.84,,0.0621
2014-06-12,4540.98,,0.0622
2014-06-13,4583.93,,0.0616
2014-06-16,4620.42,,0.0611
2014-06-17,4583.33,,0.0617
2014-06-18,4542.53,,0.062
2014-06-19,4469.04,,0.0626
2014-06-20,4476.14,,0.0631
2014-06-23,4468.5,,0.0635
2014-06-24,4494.32,,0.0632
2014-06-25,4472.86,,0.0634
2014-06-26,4510.55,,0.0631
2014-06-27,4516.08,,0.0637
2014-06-30,4547.04,,0.0635
2014-07-01,4541.75,,0.0637
2014-07-02,4575.01,,0.0635
2014-07-03,4595.7,,0.0637
2014-07-04,4589.37,,0.0636
2014-07-07,4589.39,,0.0635
2014-07-08,4606.77,,0.0633
2014-07-09,4543.17,,0.064
2014-07-10,4524.24,,0.0647
2014-07-11,4531.16,,0.0648
2014-07-14,4589.41,,0.0645
2014-07-15,4591.61,,0.0643
2014-07-16,4594.67,,0.0642
2014-07-17,4571.38,,0.0645
2014-07-18,4587.09,,0.0644
2014-07-21,4577.76,,0.0646
2014-07-22,4618.1,,0.0642
2014-07-23,4635.33,,0.0639
2014-07-24,4691.37,,0.0629
2014-07-25,4735.79,,0.0622
2014-07-28,4838.68,,0.0604
2014-07-29,4850.25,,0.0603
2014-07-30,4804.6,,0.061
2014-07-31,4857.63,,0.0603
2014-08-01,4837.01,,0.0605
2014-08-04,4904.43,,0.0598
2014-08-05,4899.53,,0.06
2014-08-06,4901.49,,0.0603
2014-08-07,4844.33,,0.0613
2014-08-08,4852.37,,0.0611
2014-08-11,4912.48,,0.0604
2014-08-12,4910.52,,0.0607
2014-08-13,4918.644,,0.0608
2014-08-14,4890.733,,0.061
2014-08-15,4923.478,,0.0607
2014-08-18,4949.141,,0.0607
2014-08-19,4947.596,,0.0606
2014-08-20,4928.783,,0.0607
2014-08-21,4911.966,,0.0611
2014-08-22,4937.716,,0.0609
2014-08-25,4907.424,,0.0612
2014-08-26,4866.377,,0.0613
2014-08-27,4863.917,,0.0614
