datetime,close,acc_close,pe,pe_pct,pe_pct80,pe_pct50,pe_pct20
2019-04-22,9269.21,12607.46,10.6548,,10.6548,10.6548,10.6548
2019-04-23,9287.39,12632.2,10.6797,1,10.6797,10.6673,10.6548
2019-04-24,9296.03,12643.95,10.6918,1,10.6918,10.6797,10.6548
2019-04-25,9118.91,12403.04,10.5149,0,10.6797,10.6673,10.6548
2019-04-26,8952.3,12176.42,10.3645,0,10.6797,10.6548,10.5149
2019-04-29,9048.68,12309.33,10.3895,0.2,10.6797,10.5849,10.3895
2019-04-30,9142.47,12436.91,10.3405,0,10.6797,10.5149,10.3645
2019-05-06,8586.96,11681.22,9.8147,0,10.6797,10.4522,10.3405
2019-05-07,8726.25,11874.27,9.8931,0.125,10.6548,10.3895,10.3405
2019-05-08,8589.2,11687.77,9.7518,0,10.6548,10.377,9.8931
2019-05-09,8438.06,11482.12,9.5761,0,10.6548,10.3645,9.8147
2019-05-10,8734.54,11885.56,9.8778,0.2727,10.6548,10.3525,9.8147
2019-05-13,8628.65,11741.47,9.7556,0.1667,10.6548,10.3405,9.7556
2019-05-14,8537.53,11617.47,9.6858,0.0769,10.5149,10.1168,9.7556
2019-05-15,8774.06,11939.33,9.9078,0.5,10.5149,9.9078,9.7556
2019-05-16,8805.26,11983.17,9.9392,0.5333,10.5149,9.9235,9.7556
2019-05-17,8595.48,11697.68,9.7561,0.25,10.5149,9.9078,9.7556
2019-05-20,8445.76,11493.92,9.6975,0.1176,10.5149,9.9004,9.7518
2019-05-21,8581.48,11678.62,9.8188,0.3889,10.3895,9.8931,9.7556
2019-05-22,8540.8,11623.26,9.7566,0.3158,10.3895,9.8855,9.7556
2019-05-23,8365.01,11384.02,9.6248,0.05,10.3895,9.8778,9.7518
2019-05-24,8382.04,11417,9.6625,0.0952,10.3895,9.8483,9.6975
2019-05-27,8465.06,11536.1,9.7266,0.2273,10.3895,9.8188,9.6975
2019-05-28,8596.25,11714.89,9.8307,0.5217,10.3645,9.8247,9.7266
2019-05-29,8520.86,11626.29,9.7551,0.2917,10.3645,9.8188,9.7266
2019-05-30,8470.12,11562.92,9.7276,0.24,10.3645,9.8167,9.7266
2019-05-31,8477.73,11573.3,9.6968,0.1538,10.3645,9.8147,9.6975
2019-06-03,8420.18,11510.82,9.7185,0.2222,10.3645,9.7856,9.6975
2019-06-04,8304.1,11352.14,9.6589,0.0714,10.3405,9.7566,9.6975
2019-06-05,8276.43,11315.74,9.6822,0.1379,10.3405,9.7563,9.6968
2019-06-06,8184.32,11195.32,9.6238,0.0333,10.3405,9.7561,9.6858
2019-06-10,8330.22,11394.9,9.7669,0.5484,10.3405,9.7563,9.6858
2019-06-11,8577.61,11743.89,9.9973,0.7813,10.3405,9.7566,9.6858
2019-06-12,8496.78,11639.76,9.9449,0.7576,9.9973,9.7617,9.6968
2019-06-13,8457.95,11586.56,9.8952,0.6765,9.9973,9.7669,9.6968
2019-06-14,8372.67,11469.74,9.8369,0.6,9.9973,9.7908,9.6968
2019-06-17,8375.38,11481.88,10.7062,1,10.3405,9.8147,9.6968
2019-06-18,8394.94,11508.69,10.7801,1,10.3645,9.8167,9.6968
2019-06-19,8478.34,11659.89,10.9372,1,10.3645,9.8188,9.6975
2019-06-20,8716.76,11987.78,11.2876,1,10.3895,9.8247,9.6975
2019-06-21,8698.65,11973.62,11.2282,0.975,10.5149,9.8307,9.6975
2019-06-24,8723.55,12009.79,11.2696,0.9756,10.6548,9.8338,9.6975
2019-06-25,8634.01,11886.52,11.1096,0.9286,10.6797,9.8369,9.6975
2019-06-26,8661.65,11924.58,11.1088,0.907,10.6797,9.8574,9.7185
2019-06-27,8778.81,12085.88,11.2514,0.9545,10.6918,9.8778,9.7185
2019-06-28,8760.75,12068.09,11.2438,0.9333,10.7062,9.8855,9.7185
2019-07-01,9007.68,12408.25,11.5387,1,10.7801,9.8931,9.7185
2019-07-02,9019.69,12424.79,11.5068,0.9787,10.9372,9.8941,9.7185
2019-07-03,8933.77,12313.05,11.3843,0.9583,10.9372,9.8952,9.7266
2019-07-04,8877.85,12242.22,11.3266,0.9388,11.1088,9.9015,9.7266
2019-07-05,8933.67,12337.02,11.394,0.96,11.1096,9.9078,9.7266
2019-07-08,8742.05,12072.4,11.1522,0.8039,11.1522,9.9235,9.7266
2019-07-09,8712.73,12031.91,11.1038,0.75,11.1522,9.9392,9.7266
2019-07-10,8691.25,12027.01,11.0045,0.7358,11.1096,9.942,9.7276
2019-07-11,8708.95,12060.96,11.0403,0.7407,11.1096,9.9449,9.7276
2019-07-12,8792.63,12190.77,11.1381,0.8,11.1381,9.9711,9.7276
2019-07-15,8802.25,12204.12,11.1336,0.7857,11.1381,9.9973,9.7276
2019-07-16,8762.25,12148.66,11.0696,0.7193,11.1381,10.1689,9.7276
2019-07-17,8744.6,12131.17,11.052,0.7069,11.1336,10.3405,9.7518
2019-07-18,8658.56,12011.81,10.9962,0.661,11.1336,10.3525,9.7518
2019-07-19,8717.51,12104.57,11.1067,0.75,11.1336,10.3645,9.7518
2019-07-22,8675.17,12051.92,11.0446,0.6885,11.1336,10.377,9.7518
2019-07-23,8725.66,12128.17,11.0819,0.7258,11.1336,10.3895,9.7518
2019-07-24,8769.68,12189.35,11.1721,0.8413,11.1336,10.4522,9.7551
