datetime,close,acc_close,pe,pe_pct,pe_pct80,pe_pct50,pe_pct20
2009-11-04,3733.68,3997.24,67.0608,,67.0608,67.0608,67.0608
2009-11-05,3742.62,4006.82,67.2383,1,67.2383,67.1496,67.0608
2009-11-06,3764.63,4030.38,67.6216,1,67.6216,67.2383,67.0608
2009-11-09,3782.63,4049.66,67.976,1,67.6216,67.4299,67.2383
2009-11-10,3799.94,4068.18,68.2543,1,67.976,67.6216,67.2383
2009-11-11,3796.52,4064.53,68.4032,1,68.2543,67.7988,67.2383
2009-11-12,3811.33,4080.38,68.7346,1,68.4032,67.976,67.2383
2009-11-13,3839.72,4110.78,69.4587,1,68.7346,68.1152,67.2383
2009-11-16,3944.24,4222.67,71.3868,1,68.7346,68.2543,67.6216
2009-11-17,3950.13,4228.98,71.4778,1,69.4587,68.3288,67.6216
2009-11-18,3954.78,4233.95,71.5695,1,71.3868,68.4032,67.6216
2009-11-19,3992.15,4273.97,72.2381,1,71.4778,68.5689,67.6216
2009-11-20,4001.53,4284.01,72.4434,1,71.5695,68.7346,67.6216
2009-11-23,4052.5,4338.58,73.3765,1,71.5695,69.0967,67.976
2009-11-24,3888.2,4162.68,70.5334,0.5714,71.5695,69.4587,67.976
2009-11-25,4006.96,4289.82,72.6985,0.9333,72.2381,69.9961,67.976
2009-11-26,3859.09,4131.51,70.0786,0.5,72.2381,70.0786,67.976
2009-11-27,3742.17,4006.34,67.8906,0.1765,72.2381,69.7687,67.8906
2009-11-30,3909.92,4185.93,70.9402,0.6111,71.5695,70.0786,67.976
2009-12-01,3987.86,4269.38,72.412,0.8421,72.2381,70.306,67.976
2009-12-02,4035.88,4320.79,73.2123,0.95,72.412,70.5334,67.976
2009-12-03,4038.26,4323.33,73.3276,0.9524,72.4434,70.7368,67.976
2009-12-04,4010.72,4293.84,72.8379,0.8636,72.6985,70.9402,67.976
2009-12-07,4067.99,4355.16,73.8186,1,72.6985,71.1635,68.2543
2009-12-08,4046.4,4332.04,73.4027,0.9583,72.8379,71.3868,68.2543
2009-12-09,3985.88,4267.25,72.3092,0.64,72.8379,71.4323,68.2543
2009-12-10,4012.93,4296.21,72.8773,0.8077,72.8773,71.4778,68.2543
2009-12-11,4014.73,4298.13,72.9237,0.8148,72.9237,71.5237,68.2543
2009-12-14,4020.24,4304.04,73.1468,0.8214,72.9237,71.5695,68.4032
2009-12-15,4001.58,4284.06,72.8167,0.6897,72.9237,71.9038,68.4032
2009-12-16,3964.67,4244.55,72.1007,0.5,72.9237,72.1007,68.4032
2009-12-17,3865.07,4137.91,70.2914,0.3226,72.9237,71.8351,68.4032
2009-12-18,3721.87,3984.6,67.7739,0.0938,72.9237,71.5695,68.2543
2009-12-21,3756.53,4021.71,68.4251,0.2424,72.8773,71.5237,68.4032
2009-12-22,3650.2,3907.88,66.5058,0,72.8773,71.4778,68.2543
2009-12-23,3707.83,3969.58,67.5641,0.0857,72.8773,71.4323,67.976
2009-12-24,3838.44,4109.41,69.9794,0.3611,72.8773,71.3868,67.976
2009-12-25,3849.43,4121.17,70.1743,0.4054,72.8773,71.1635,67.976
2009-12-28,3912.66,4188.86,71.3162,0.5,72.8379,71.3162,68.2543
2009-12-29,3929.08,4206.45,71.5948,0.5897,72.8379,71.3515,68.2543
2009-12-30,3949.42,4228.22,71.9855,0.6,72.8379,71.3868,68.2543
2009-12-31,3971.05,4251.37,72.4094,0.6829,72.8379,71.4323,68.2543
2010-01-04,3950.43,4229.3,61.0597,0,72.8379,71.3868,67.976
2010-01-05,3965.58,4245.52,61.264,0.0233,72.8167,71.3515,67.976
2010-01-06,3960.11,4239.66,61.2427,0.0227,72.8167,71.3162,67.8906
2010-01-07,3882.69,4156.78,59.9878,0,72.8167,71.1282,67.7739
2010-01-08,3907.2,4183.02,60.2866,0.0217,72.8167,70.9402,67.6216
2010-01-11,3898.49,4173.7,60.1164,0.0213,72.8167,70.7368,67.5641
2010-01-12,3974.67,4255.25,61.3005,0.125,72.6985,70.5334,67.5641
2010-01-13,3894.44,4169.36,60.0111,0.0204,72.6985,70.4124,67.2383
2010-01-14,3967.99,4248.1,61.1481,0.1,72.6985,70.2914,67.0608
2010-01-15,3995.2,4277.24,61.571,0.1765,72.6985,70.2329,66.5058
2010-01-18,4042.29,4327.64,62.2909,0.1923,72.6985,70.1743,62.2909
