datetime,close,acc_close,pe,pe_pct,pe_pct80,pe_pct50,pe_pct20
2016-02-04,11741.14,13052.42,29.9788,,29.9788,29.9788,29.9788
2016-02-05,11627.84,12926.46,29.7184,0,29.9788,29.8486,29.7184
2016-02-15,11581.63,12875.08,29.5699,0,29.9788,29.7184,29.5699
2016-02-16,12091.37,13441.76,30.8212,1,29.9788,29.8486,29.7184
2016-02-17,12225.07,13590.39,31.1543,1,30.8212,29.9788,29.7184
2016-02-18,12171.54,13530.88,31.0042,0.8,31.0042,30.4,29.7184
2016-02-19,12214.5,13578.64,31.0692,0.8333,31.0692,30.8212,29.7184
2016-02-22,12489.99,13884.9,31.7887,1,31.1543,30.9127,29.7184
2016-02-23,12454.84,13845.82,31.6921,0.875,31.1543,31.0042,29.9788
2016-02-24,12534.35,13934.22,31.9166,1,31.6921,31.0367,29.9788
2016-02-25,11506.02,12791.03,29.3738,0,31.6921,31.0042,29.7184
2016-02-26,11572.17,12864.57,29.4973,0.0909,31.6921,30.9127,29.5699
2016-02-29,10973.72,12199.28,28.1072,0,31.6921,30.8212,29.4973
2016-03-01,11264.8,12522.87,29.0267,0.0769,31.1543,30.4,29.4973
2016-03-02,11869.05,13194.61,30.5252,0.5,31.1543,30.5252,29.4973
2016-03-03,11900.88,13229.99,30.6126,0.5333,31.1543,30.5689,29.4973
2016-03-04,11636.54,12936.14,29.9834,0.4375,31.1543,30.5252,29.4973
2016-03-07,11905.7,13235.35,30.6346,0.5882,31.1543,30.5689,29.4973
2016-03-08,11921.11,13252.48,30.6565,0.6111,31.0692,30.6126,29.5699
2016-03-09,11598.75,12894.13,29.8823,0.3158,31.0692,30.5689,29.5699
2016-03-10,11402.95,12676.45,29.3558,0.1,31.0692,30.5252,29.4973
2016-03-11,11377.27,12647.9,29.1859,0.0952,31.0692,30.2543,29.3738
2016-03-14,11734.97,13045.55,30.0715,0.5,31.0692,30.0715,29.3738
2016-03-15,11659.27,12961.4,29.9409,0.3913,31.0042,30.0274,29.4973
2016-03-16,11527.99,12815.45,29.4653,0.2083,31.0042,29.9834,29.4653
2016-03-17,11894.9,13223.35,30.3487,0.56,31.0042,30.0274,29.4653
2016-03-18,12267.39,13637.44,31.2364,0.8846,31.0692,30.0715,29.4653
2016-03-21,12547.15,13948.44,31.9219,1,31.1543,30.2101,29.4653
2016-03-22,12488.12,13882.81,32.0641,1,31.1543,30.3487,29.4973
2016-03-23,12559.52,13962.2,32.1852,1,31.2364,30.4369,29.4973
2016-03-24,12353.44,13733.1,31.7476,0.8333,31.6921,30.5252,29.4973
2016-03-25,12488.11,13882.81,32.0499,0.9355,31.7476,30.5689,29.4973
2016-03-28,12431.22,13819.56,32.2774,1,31.7887,30.6126,29.4973
2016-03-29,12174.54,13534.26,31.4112,0.7273,31.7476,30.6236,29.5699
2016-03-30,12620.78,14030.34,32.7943,1,31.7887,30.6346,29.5699
2016-03-31,12655.68,14069.13,32.9496,1,31.9166,30.6456,29.5699
2016-04-01,12607.9,14016.02,32.7913,0.9444,31.9219,30.6565,29.5699
2016-04-05,12941.41,14386.78,33.634,1,32.0499,30.7389,29.5699
2016-04-06,13011.4,14464.58,33.8244,1,32.0499,30.8212,29.7184
2016-04-07,12868.99,14306.26,33.5442,0.9487,32.0641,30.9127,29.7184
2016-04-08,12792.54,14221.27,33.4473,0.925,32.1852,31.0042,29.7184
2016-04-11,13070.29,14530.05,34.1628,1,32.2774,31.0367,29.7184
2016-04-12,12961.83,14410.28,33.7829,0.9524,32.7913,31.0692,29.7184
2016-04-13,13120.75,14587.7,34.1101,0.9767,32.7913,31.1117,29.8823
2016-04-14,13251.64,14733.23,34.5732,1,32.7943,31.1543,29.8823
2016-04-15,13223.65,14702.11,34.4335,0.9778,32.9496,31.1953,29.8823
2016-04-18,13032.65,14489.75,34.4587,0.9783,33.4473,31.2364,29.8823
2016-04-19,13075.35,14537.84,34.7208,1,33.5442,31.3238,29.8823
2016-04-20,12451.13,13847.18,33.5728,0.8125,33.5442,31.4112,29.9409
2016-04-21,12359.77,13745.79,33.3152,0.7551,33.5442,31.5516,29.9409
2016-04-22,12487.55,13890.97,33.3959,0.76,33.5442,31.6921,29.9409
2016-04-25,12409.25,13810.78,33.0202,0.7255,33.5442,31.7199,29.9409
2016-04-26,12563.79,13982.77,33.2406,0.7308,33.5442,31.7476,29.9409
2016-04-27,12537.34,13953.33,33.1775,0.717,33.4473,31.7682,29.9788
2016-04-28,12480.86,13892.59,32.9897,0.6852,33.4473,31.7887,29.9788
