datetime,close,acc_close,pe,pe_pct,pe_pct80,pe_pct50,pe_pct20
2020-06-15,3359.89,3620.7625,36.6434,,36.6434,36.6434,36.6434
2020-06-16,3427.19,3693.5088,37.356,1,37.356,36.9997,36.6434
2020-06-17,3435.25,3702.7182,37.47,1,37.47,37.356,36.6434
2020-06-18,3464.65,3734.6712,37.8089,1,37.47,37.413,37.356
2020-06-19,3523.39,3797.9909,38.457,1,37.8089,37.47,37.356
2020-06-22,3534.89,3810.4171,38.5814,1,38.457,37.6395,37.356
2020-06-23,3573.87,3852.698,39.081,1,38.5814,37.8089,37.356
2020-06-24,3582.92,3862.514,39.157,1,39.081,38.133,37.356
2020-06-29,3573.19,3852.0201,39.0255,0.75,39.0255,38.457,37.47
2020-06-30,3651.31,3936.27,39.8685,1,39.081,38.5192,37.47
2020-07-01,3667.5,3954.0154,39.9799,1,39.157,38.5814,37.47
2020-07-02,3681.2,3968.803,40.0974,1,39.8685,38.8035,37.47
2020-07-03,3724.7,4015.7743,40.6641,1,39.9799,39.0255,37.47
2020-07-06,3840.5,4141.3427,41.8908,1,39.9799,39.0532,37.8089
2020-07-07,3942.51,4252.1691,43.1155,1,40.0974,39.081,37.8089
2020-07-08,3991.08,4304.675,43.6436,1,40.6641,39.119,37.8089
2020-07-09,4106.99,4429.6934,44.9718,1,41.8908,39.157,37.8089
2020-07-10,4095.16,4417.0892,44.9485,0.9412,43.1155,39.5128,37.8089
2020-07-13,4235.35,4568.3873,46.5767,1,43.1155,39.8685,38.457
2020-07-14,4160.91,4488.0888,45.8268,0.9474,43.6436,39.9242,38.457
2020-07-15,4105.09,4428.0792,45.1964,0.9,44.9485,39.9799,38.457
2020-07-16,3896.2,4202.9034,42.8896,0.6667,44.9485,40.0386,38.457
2020-07-17,3956.49,4268.215,43.4482,0.7273,44.9485,40.0974,38.457
2020-07-20,4041.7,4360.1449,44.31,0.7826,44.31,40.3807,38.5814
2020-07-21,4082.89,4404.7339,44.7951,0.7917,44.7951,40.6641,38.5814
2020-07-22,4127.35,4452.9257,45.277,0.92,44.9485,41.2774,38.5814
2020-07-23,4151.33,4478.804,45.5142,0.9231,44.9718,41.8908,38.5814
2020-07-24,3907.81,4216.1279,42.8415,0.5185,44.9718,42.3662,38.5814
2020-07-27,3941.92,4252.9352,43.2137,0.6071,44.9485,42.8415,39.0255
2020-07-28,3990.96,4305.8406,43.7592,0.6897,44.9485,42.8656,39.0255
2020-07-29,4141.46,4468.2143,45.3524,0.9,44.9718,42.8896,39.0255
2020-07-30,4105.33,4429.3962,44.9714,0.7742,44.9718,43.0026,39.0255
