datetime,close,acc_close,pe,pe_pct,pe_pct80,pe_pct50,pe_pct20
2007-01-15,1986.54,,50.4393,,50.4393,50.4393,50.4393
2007-01-16,2055.016,,52.2118,1,52.2118,51.3256,50.4393
2007-01-17,2035.651,,51.6452,0.5,52.2118,51.6452,50.4393
2007-01-18,2085.403,,52.8341,1,52.2118,51.9285,51.6452
2007-01-19,2159.638,,54.6415,1,52.8341,52.2118,51.6452
2007-01-22,2258.986,,57.1569,1,54.6415,52.5229,51.6452
2007-01-23,2261.785,,57.0891,0.8333,57.0891,52.8341,51.6452
2007-01-24,2283.696,,57.6794,1,57.1569,53.7378,51.6452
2007-01-25,2174.239,,54.7181,0.625,57.0891,54.6415,52.2118
2007-01-26,2186.27,,54.9331,0.6667,57.0891,54.6798,52.2118
2007-01-29,2260.596,,56.6657,0.7,57.0891,54.7181,52.2118
2007-01-30,2255.938,,56.6028,0.6364,57.0891,54.8256,52.2118
2007-01-31,2142.891,,53.7175,0.3333,57.0891,54.7181,52.2118
2007-02-01,2165.405,,54.192,0.3846,56.6657,54.6798,52.8341
2007-02-02,2127.104,,52.5708,0.2143,56.6657,54.6415,52.5708
2007-02-05,2152.25,,53.1555,0.3333,56.6657,54.4167,52.5708
2007-02-06,2198.239,,54.2544,0.5,56.6657,54.2544,52.5708
2007-02-07,2237.944,,55.1481,0.7059,56.6657,54.4479,52.5708
2007-02-08,2278.445,,56.0198,0.7222,56.6028,54.6415,52.8341
2007-02-09,2287.381,,55.719,0.6842,56.6028,54.6798,52.8341
2007-02-12,2341.072,,56.9144,0.85,56.6657,54.7181,52.8341
2007-02-13,2384.158,,57.8809,1,56.9144,54.8256,52.8341
2007-02-14,2435.959,,59.1087,1,57.0891,54.9331,52.8341
2007-02-15,2512.402,,60.5371,1,57.0891,55.0406,53.1555
2007-02-16,2541.409,,61.0032,1,57.1569,55.1481,53.1555
2007-02-26,2642.114,,63.4038,1,57.6794,55.4336,53.1555
2007-02-27,2405.574,,57.8056,0.8077,57.8056,55.719,53.1555
2007-02-28,2513.533,,60.3599,0.8889,57.8809,55.8694,53.1555
2007-03-01,2459.511,,59.0403,0.8214,57.8809,56.0198,53.7175
2007-03-02,2503.677,,60.0677,0.8621,59.0403,56.3113,53.7175
2007-03-05,2511.916,,60.1735,0.8667,59.1087,56.6028,53.7175
2007-03-06,2516.003,,60.1167,0.8387,60.0677,56.6342,53.7175
2007-03-07,2580.597,,61.3796,0.9688,60.1167,56.6657,53.7175
2007-03-08,2634.879,,62.5287,0.9697,60.1167,56.79,54.192
2007-03-09,2638.047,,61.8997,0.9412,60.1735,56.9144,54.192
2007-03-12,2696.497,,62.2653,0.9429,60.3599,57.0017,54.192
2007-03-13,2727.455,,62.9421,0.9722,60.5371,57.0891,54.192
2007-03-14,2708.687,,62.4725,0.9189,61.0032,57.123,54.192
2007-03-15,2760.844,,63.4651,1,61.0032,57.1569,54.2544
2007-03-16,2710.861,,62.3874,0.8718,61.3796,57.4181,54.2544
2007-03-19,2751.477,,63.0222,0.95,61.8997,57.6794,54.2544
2007-03-20,2810.714,,63.8109,1,62.2653,57.7425,54.2544
2007-03-21,2859.006,,64.7591,1,62.3874,57.8056,54.2544
2007-03-22,2861.146,,64.6262,0.9767,62.3874,57.8433,54.6415
2007-03-23,2897.999,,65.2952,1,62.4725,57.8809,54.6415
2007-03-26,2989.051,,67.007,1,62.5287,58.4606,54.6415
2007-03-27,3039.534,,67.4432,1,62.9421,59.0403,54.6415
2007-03-28,3004.295,,65.8174,0.9574,63.0222,59.0745,54.6415
2007-03-29,2894.779,,62.8408,0.7708,62.9421,59.1087,54.7181
2007-03-30,2926.064,,63.2283,0.8163,63.0222,59.5882,54.7181
2007-04-02,2993.63,,65.3976,0.94,63.2283,60.0677,54.7181
2007-04-03,3042.461,,66.5858,0.9608,63.4038,60.0922,54.7181
2007-04-04,3078.901,,67.3259,0.9808,63.4651,60.1167,54.7181
2007-04-05,3133.142,,68.9623,1,63.4651,60.1451,54.9331
2007-04-06,3182.797,,69.8215,1,63.8109,60.1735,54.9331
2007-04-09,3240.302,,70.3777,1,64.6262,60.2667,54.9331
2007-04-10,3261.527,,69.9103,0.9821,64.7591,60.3599,54.9331
2007-04-11,3309.745,,71.0971,1,65.2952,60.4485,54.9331
2007-04-12,3387.412,,72.8149,1,65.2952,60.5371,55.1481
2007-04-13,3358.632,,70.4605,0.9661,65.3976,60.7702,55.1481
2007-04-16,3458.067,,70.4994,0.9667,65.8174,61.0032,55.1481
2007-04-17,3558.216,,71.0896,0.9672,66.5858,61.1914,55.1481
2007-04-18,3649.714,,72.4547,0.9839,67.007,61.3796,55.1481
2007-04-19,3435.78,,68.3243,0.8413,67.007,61.6397,55.719
2007-04-20,3614.391,,71.3567,0.9688,67.3259,61.8997,55.719
2007-04-23,3782.256,,73.7263,1,67.4432,62.0825,55.719
2007-04-24,3821.416,,73.7367,1,68.3243,62.2653,55.719
2007-04-25,3805.046,,73.7284,0.9851,68.9623,62.3263,55.719
2007-04-26,3853.269,,71.7464,0.9265,68.9623,62.3874,56.0198
2007-04-27,3845.813,,71.4989,0.913,69.8215,62.4299,56.0198
2007-04-30,3903.689,,74.7948,1,69.9103,62.4725,56.0198
2007-05-08,4091.133,,78.3549,1,70.3777,62.5006,56.0198
2007-05-09,4099.126,,78.4221,1,70.4605,62.5287,56.0198
2007-05-10,4128.081,,78.352,0.9726,70.4605,62.6848,56.6028
2007-05-11,4109.403,,77.9941,0.9595,70.4994,62.8408,56.6028
2007-05-14,4133.826,,78.4096,0.9867,71.0896,62.8915,56.6028
2007-05-15,3998.777,,75.8768,0.9342,71.0971,62.9421,56.6028
2007-05-16,4118.139,,78.1749,0.9481,71.3567,62.9822,56.6028
2007-05-17,4221.913,,80.1705,1,71.3567,63.0222,56.6657
2007-05-18,4235.185,,80.4347,1,71.4989,63.1252,56.6657
2007-05-21,4364.156,,82.8525,1,71.7464,63.2283,56.6657
2007-05-22,4459.813,,84.6817,1,72.4547,63.316,56.6657
2007-05-23,4582.306,,86.9729,1,72.8149,63.4038,56.6657
2007-05-24,4571.714,,86.7078,0.988,72.8149,63.4344,56.9144
2007-05-25,4649.857,,88.3265,1,73.7263,63.4651,56.9144
2007-05-28,4761.701,,90.5316,1,73.7284,63.638,56.9144
2007-05-29,4853.643,,92.3029,1,73.7367,63.8109,56.9144
2007-05-30,4456.279,,84.7811,0.9425,74.7948,64.2186,56.9144
2007-05-31,4267.781,,81.4389,0.9091,74.7948,64.6262,57.0891
2007-06-01,3960.442,,75.7492,0.7978,75.7492,64.6927,57.0891
2007-06-04,3618.688,,69.2319,0.6111,75.7492,64.7591,57.0891
2007-06-05,3659.941,,70.1061,0.6374,75.7492,65.0271,57.0891
2007-06-06,3736.931,,71.6122,0.7174,75.7492,65.2952,57.0891
2007-06-07,3936.766,,75.4232,0.7957,75.4232,65.3464,57.1569
2007-06-08,4002.868,,76.8187,0.8191,75.7492,65.3976,57.1569
2007-06-11,4104.551,,78.884,0.8842,75.8768,65.6075,57.1569
2007-06-12,4218.436,,81.1103,0.9063,76.8187,65.8174,57.1569
2007-06-13,4372.53,,83.9791,0.9278,77.9941,66.2016,57.1569
2007-06-14,4311.975,,82.8906,0.9184,77.9941,66.5858,57.6794
2007-06-15,4316.53,,83.0947,0.9192,78.1749,66.7964,57.6794
